S.No.,State/UT,year,Road_Accidents_January,Road_Accidents_February,Road_Accidents_March,Road_Accidents_April,Road_Accidents_May,Road_Accidents_June,Road_Accidents_July,Road_Accidents_August,Road_Accidents_September,Road_Accidents_October,Road_Accidents_November,Road_Accidents_December,Road_Accidents_Total,Category
139,UTTARAKHAND,2018,135,111,115,126,130,127,115,124,102,110,124,150,1469,State
140,WEST BENGAL,2018,1084,914,1046,993,969,1047,1006,904,880,973,981,1030,11827,State
141,ANDAMAN AND NICOBAR ISLANDS,2019,17,14,29,25,14,23,22,14,15,18,20,19,230,UT
142,ANDHRA PRADESH,2019,1783,1655,1772,1799,1821,1795,1688,1721,1463,1595,1698,1887,20677,State
143,ARUNACHAL PRADESH,2019,25,17,12,19,9,17,22,12,11,17,17,22,200,State
144,ASSAM,2019,748,748,752,648,677,673,566,581,661,658,655,688,8055,State
145,BIHAR,2019,898,807,928,806,1054,1014,748,746,592,698,893,823,10007,State
146,CHANDIGARH,2019,30,21,22,22,25,26,25,36,14,27,29,27,304,UT
147,CHHATTISGARH,2019,1389,1236,1122,1236,1273,1178,1172,1025,999,1094,1127,1048,13899,State
148,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2019,10,12,13,14,11,13,10,10,13,12,6,7,131,UT
149,DELHI,2019,524,469,522,445,480,485,469,412,422,455,469,449,5601,UT
150,GOA,2019,329,298,305,282,313,270,231,252,235,281,293,351,3440,State
151,GUJARAT,2019,1663,1580,1544,1395,1560,1357,1206,1136,1067,1310,1254,1431,16503,State
152,HARYANA,2019,963,809,991,919,932,875,923,888,855,915,926,941,10937,State
153,HIMACHAL PRADESH,2019,240,167,250,254,255,292,233,252,228,257,232,236,2896,State
154,JAMMU AND KASHMIR,2019,452,293,440,503,535,592,639,406,435,555,517,428,5795,UT
155,JHARKHAND,2019,465,486,440,447,428,485,465,396,371,414,396,424,5217,State
156,KARNATAKA,2019,3696,3512,3550,3583,3730,3599,3029,2895,2901,3168,3361,3620,40644,State
157,KERALA,2019,3772,3558,3377,3301,3653,3246,3144,2825,2985,3268,3352,3463,39944,State
158,LAKSHADWEEP,2019,0,1,0,0,0,0,0,0,0,0,0,0,1,UT
159,MADHYA PRADESH,2019,5205,4365,4385,4368,5054,4661,4067,3788,3500,4080,4268,3900,51641,State
160,MAHARASHTRA,2019,2623,2429,2588,2303,2672,2348,2117,1899,1850,1772,2274,2411,27286,State
161,MANIPUR,2019,60,51,58,50,63,67,55,54,45,51,43,75,672,State
162,MEGHALAYA,2019,25,24,21,20,22,16,15,20,21,21,13,18,236,State
163,MIZORAM,2019,3,7,5,4,4,3,4,5,5,5,5,7,57,State
164,NAGALAND,2019,2,1,2,3,3,3,3,1,1,3,1,3,26,State
165,ODISHA,2019,1092,932,1036,887,952,903,886,816,709,874,942,1035,11064,State
166,PUDUCHERRY,2019,127,105,118,108,114,125,118,125,124,111,105,112,1392,UT
167,PUNJAB,2019,530,459,534,544,501,537,442,494,526,634,593,522,6316,State
168,RAJASTHAN,2019,2188,1833,2050,1958,2337,2239,2007,1745,1671,1833,1954,1663,23478,State
169,SIKKIM,2019,20,7,17,14,14,8,8,14,19,13,15,23,172,State
170,TAMIL NADU,2019,5173,4749,5122,4776,4962,5209,4813,4767,4626,4708,4262,4061,57228,State
