Sl. No.,Category,State/UT/City,Truck/Lorry - Offenders,Truck/Lorry - Victims,Truck/Lorry - Total,Bus - Offenders,Bus - Victims,Bus - Total,SUV/Station Wagon/etc. - Offenders,SUV/Station Wagon/etc. - Victims,SUV/Station Wagon/etc. - Total,Car - Offenders,Car - Victims,Car - Total,Jeep - Offenders,Jeep - Victims,Jeep - Total,Tractor - Offenders,Tractor - Victims,Tractor - Total,Three Wheeler/Auto Rickshaw - Offenders,Three Wheeler/Auto Rickshaw - Victims,Three Wheeler/Auto Rickshaw - Total,Two Wheeler - Offenders,Two Wheeler - Victims,Two Wheeler - Total,Other Motor Vehicles - Offenders,Other Motor Vehicles - Victims,Other Motor Vehicles - Total,Bicycle - Offenders,Bicycle - Victims,Bicycle - Total,Hand Drawn Vehicle/Cycle Rickshaw - Offenders,Hand Drawn Vehicle/Cycle Rickshaw - Victims,Hand Drawn Vehicle/Cycle Rickshaw - Total,Animal Drawn Vehicle - Offenders,Animal Drawn Vehicle - Victims,Animal Drawn Vehicle - Total,Pedestrian - Offenders,Pedestrian - Victims,Pedestrian - Total,Others - Offenders,Others - Victims,Others - Total,Grand Total - Offenders,Grand Total - Victims,Grand Total - Total
20,State,Odisha,227,306,533,31,128,159,61,91,152,323,463,786,12,63,75,22,65,87,76,181,257,859,818,1677,139,216,355,14,56,70,0,0,0,0,34,34,10,259,269,9,160,169,1783,2840,4623
21,State,Punjab,21,544,565,13,256,269,10,163,173,34,860,894,5,78,83,8,69,77,4,226,230,135,1678,1813,2,36,38,14,100,114,0,12,12,0,26,26,27,200,227,0,82,82,273,4330,4603
22,State,Rajasthan,494,1222,1716,118,552,670,122,390,512,496,1160,1656,310,675,985,117,503,620,68,143,211,1375,1445,2820,184,427,611,16,19,35,0,0,0,0,1,1,0,469,469,36,102,138,3336,7108,10444
23,State,Sikkim,3,4,7,1,3,4,9,8,17,17,3,20,3,1,4,0,0,0,0,0,0,2,0,2,2,1,3,0,0,0,0,0,0,0,0,0,0,5,5,0,1,1,37,26,63
24,State,Tamil Nadu,274,2232,2506,350,1506,1856,65,307,372,773,1789,2562,94,587,681,49,291,340,159,319,478,1183,4139,5322,47,240,287,22,130,152,1,8,9,2,6,8,207,1377,1584,0,0,0,3226,12931,16157
25,State,Telangana,179,703,882,31,226,257,6,158,164,169,742,911,5,30,35,92,185,277,96,474,570,939,1936,2875,61,171,232,5,27,32,0,5,5,0,10,10,0,343,343,0,3,3,1583,5013,6596
26,State,Tripura,2,28,30,0,9,9,0,4,4,2,21,23,1,3,4,0,0,0,1,10,11,29,10,39,0,0,0,1,1,2,0,0,0,0,0,0,0,35,35,0,6,6,36,127,163
27,State,Uttar Pradesh,916,4110,5026,341,1605,1946,259,868,1127,610,2160,2770,269,521,790,86,696,782,205,883,1088,1429,4477,5906,84,383,467,221,134,355,2,10,12,3,27,30,40,168,208,59,195,254,4524,16237,20761
28,State,Uttarakhand,28,133,161,14,102,116,7,64,71,30,191,221,8,5,13,2,16,18,9,9,18,23,106,129,3,3,6,2,28,30,0,0,0,0,0,0,0,124,124,0,11,11,126,792,918
29,State,West Bengal,740,1057,1797,200,384,584,130,169,299,194,457,651,9,46,55,49,64,113,61,159,220,446,778,1224,130,211,341,47,63,110,0,2,2,0,0,0,34,211,245,13,158,171,2053,3759,5812
State,State,Total (States),6926,17869,24795,2303,8264,10567,1605,4004,5609,6106,14360,20466,1642,3721,5363,1349,3706,5055,1916,5076,6992,20049,31704,51753,1339,3221,4560,697,1066,1763,9,265,274,75,166,241,796,7753,8549,598,1431,2029,45410,102606,148016
30,Union Territory,A & N Islands,0,6,6,0,0,0,0,0,0,0,5,5,0,2,2,0,1,1,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21
31,Union Territory,Chandigarh,0,5,5,0,6,6,1,16,17,7,8,15,1,0,1,0,0,0,2,13,15,11,32,43,0,3,3,2,0,2,0,0,0,0,0,0,0,5,5,0,0,0,24,88,112
