Sl. No,Category,State/UT/City,Truck/Lorry - Offenders,Truck/Lorry - Victims,Truck/Lorry - Total,Bus - Offenders,Bus - Victims,Bus - Total,SUV/Station Wagon/etc. - Offenders,SUV/Station Wagon/etc. - Victims,SUV/Station Wagon/etc. - Total,Car - Offenders,Car - Victims,Car - Total,Jeep - Offenders,Jeep - Victims,Jeep - Total,Tractor - Offenders,Tractor - Victims,Tractor - Total,Three Wheeler/Auto Rickshaw - Offenders,Three Wheeler/Auto Rickshaw - Victims,Three Wheeler/Auto Rickshaw - Total,Two Wheeler - Offenders,Two Wheeler - Victims,Two Wheeler - Total,Other Motor Vehicles - Offenders,Other Motor Vehicles - Victims,Other Motor Vehicles - Total,Bicycle - Offenders,Bicycle - Victims,Bicycle - Total,Hand Drawn Vehicle/Cycle Rickshaw - Offenders,Hand Drawn Vehicle/Cycle Rickshaw - Victims,Hand Drawn Vehicle/Cycle Rickshaw - Total,Animal Drawn Vehicle - Offenders,Animal Drawn Vehicle - Victims,Animal Drawn Vehicle - Total,Pedestrian - Offenders,Pedestrian - Victims,Pedestrian - Total,Others - Offenders,Others - Victims,Others - Total,Grand Total - Offenders,Grand Total - Victims,Grand Total
74,City,NASIK,4,63,67,0,9,9,0,1,1,1,32,33,0,3,3,0,2,2,1,7,8,29,95,124,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,35,225,260
75,City,PATNA,1,52,53,1,114,115,0,0,0,9,10,19,0,30,30,0,0,0,1,8,9,9,26,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,240,261
76,City,PUNE,10,89,99,4,34,38,2,6,8,11,67,78,2,9,11,0,0,0,2,8,10,117,139,256,1,1,2,0,3,3,0,0,0,0,0,0,9,18,27,0,11,11,158,385,543
77,City,RAIPUR,36,25,61,3,1,4,2,0,2,10,14,24,1,0,1,1,7,8,2,0,2,34,27,61,26,7,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,81,196
78,City,RAJKOT,3,15,18,1,18,19,0,0,0,5,19,24,0,0,0,0,0,0,3,14,17,9,14,23,1,19,20,7,0,7,0,0,0,0,0,0,0,22,22,0,0,0,29,121,150
79,City,RANCHI,15,0,15,13,0,13,0,0,0,44,0,44,0,0,0,0,0,0,0,0,0,80,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,152
80,City,SRINAGAR,0,4,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,63
81,City,SURAT,3,19,22,0,6,6,0,0,0,3,15,18,0,1,1,2,0,2,5,9,14,23,84,107,0,0,0,0,7,7,0,0,0,0,0,0,0,79,79,0,0,0,36,220,256
82,City,THIRUVANANTHAPURAM,0,18,18,0,1,1,0,0,0,2,12,14,0,2,2,0,0,0,0,7,7,3,68,71,0,7,7,0,6,6,0,0,0,0,0,0,1,37,38,0,0,0,6,158,164
83,City,THRISSUR,0,15,15,0,9,9,0,8,8,0,11,11,0,0,0,0,0,0,0,2,2,2,7,9,0,0,0,0,4,4,0,0,0,0,0,0,0,52,52,0,0,0,2,108,110
84,City,TIRUCHIRAPPALLI,0,18,18,4,31,35,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,16,28,44,3,47,50,0,3,3,0,1,1,0,0,0,0,1,1,0,0,0,23,138,161
85,City,VADODARA,0,41,41,0,8,8,1,6,7,1,13,14,0,2,2,0,1,1,3,6,9,24,37,61,0,31,31,0,11,11,0,4,4,0,0,0,0,40,40,0,0,0,29,200,229
86,City,VARANASI,8,84,92,2,31,33,5,11,16,7,25,32,0,10,10,2,7,9,1,23,24,8,12,20,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,222,255
